Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Pain Management Achievement Points,Pain Management Improvement Points,Pain Management Dimension Score,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall  Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score,Location
670025,THE HEART HOSPITAL BAYLOR PLANO,1100 ALLIED DRIVE,Plano,TX,75093,COLLIN,9 out of 10,7 out of 9,9 out of 10,7 out of 10,0 out of 9,7 out of 10,8 out of 10,2 out of 9,8 out of 10,9 out of 10,7 out of 9,9 out of 10,7 out of 10,2 out of 9,7 out of 10,8 out of 10,0 out of 9,8 out of 10,9 out of 10,8 out of 9,9 out of 10,10 out of 10,0 out of 9,10 out of 10,67,20,"1100 ALLIED DRIVE
Plano, TX 75093
(33.015252, -96.79012)"
390267,FORBES HOSPITAL,2570 HAYMAKER ROAD,Monroeville,PA,15146,ALLEGHENY,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,1 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,6,8,"2570 HAYMAKER ROAD
Monroeville, PA 15146
(40.428425, -79.751254)"
490120,CHESAPEAKE GENERAL HOSPITAL,"736 BATTLEFIELD BLVD, NORTH",Chesapeake,VA,23320,CHESAPEAKE CITY,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,1 out of 9,3 out of 10,2 out of 10,1 out of 9,2 out of 10,1 out of 10,2 out of 9,2 out of 10,7 out of 10,1 out of 9,7 out of 10,0 out of 10,0 out of 9,0 out of 10,16,18,"736 BATTLEFIELD BLVD, NORTH
Chesapeake, VA 23320
(36.746111, -76.244828)"
450658,EAST TEXAS MEDICAL CENTER - FAIRFIELD,125 NEWMAN ST,Fairfield,TX,75840,FREESTONE,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"125 NEWMAN ST
Fairfield, TX 75840
(31.725013, -96.169583)"
450755,COVENANT HOSPITAL LEVELLAND,1900 COLLEGE AVE,Levelland,TX,79336,HOCKLEY,7 out of 10,4 out of 9,7 out of 10,10 out of 10,0 out of 9,10 out of 10,6 out of 10,4 out of 9,6 out of 10,10 out of 10,9 out of 9,10 out of 10,9 out of 10,0 out of 9,9 out of 10,4 out of 10,1 out of 9,4 out of 10,8 out of 10,8 out of 9,8 out of 10,5 out of 10,5 out of 9,5 out of 10,59,20,"1900 COLLEGE AVE
Levelland, TX 79336
(33.572292, -102.367767)"
460017,BRIGHAM CITY COMMUNITY HOSPITAL,950 SOUTH MEDICAL DRIVE,Brigham City,UT,84302,BOX ELDER,0 out of 10,0 out of 9,0 out of 10,5 out of 10,2 out of 9,5 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,10 out of 10,9 out of 9,10 out of 10,3 out of 10,1 out of 9,3 out of 10,22,16,"950 SOUTH MEDICAL DRIVE
Brigham City, UT 84302
(41.490294, -112.025085)"
360185,SALEM REGIONAL MEDICAL CENTER,1995 EAST STATE STREET,Salem,OH,44460,COLUMBIANA,0 out of 10,1 out of 9,1 out of 10,0 out of 10,2 out of 9,2 out of 10,2 out of 10,2 out of 9,2 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,5 out of 9,5 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,3 out of 9,3 out of 10,16,18,"1995 EAST STATE STREET
Salem, OH 44460
(40.900945, -80.832363)"
460035,BEAVER VALLEY HOSPITAL,1109 NORTH 100 WEST,Beaver,UT,84713,BEAVER,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"1109 NORTH 100 WEST
Beaver, UT 84713
(38.288398, -112.643198)"
450808,NORTHWEST HILLS SURGICAL HOSPITAL,6818 AUSTIN CTR BLVD SUITE 100,Austin,TX,78731,TRAVIS,10 out of 10,9 out of 9,10 out of 10,8 out of 10,7 out of 9,8 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,7 out of 10,0 out of 9,7 out of 10,10 out of 10,9 out of 9,10 out of 10,75,20,"6818 AUSTIN CTR BLVD SUITE 100
Austin, TX 78731
(30.350361, -97.75104)"
390096,ST JOSEPH MEDICAL CENTER,2500 BERNVILLE ROAD,Reading,PA,19605,BERKS,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,3 out of 9,4 out of 10,1 out of 10,0 out of 9,1 out of 10,5,13,"2500 BERNVILLE ROAD
Reading, PA 19605
(40.376368, -75.976566)"
360040,KNOX COMMUNITY HOSPITAL,1330 COSHOCTON ROAD,Mount Vernon,OH,43050,KNOX,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,8,15,"1330 COSHOCTON ROAD
Mount Vernon, OH 43050
(40.402482, -82.447579)"
500108,ST JOSEPH MEDICAL CENTER,1717 SOUTH J STREET,Tacoma,WA,98405,PIERCE,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,9 out of 10,8 out of 9,9 out of 10,0 out of 10,0 out of 9,0 out of 10,9,10,"1717 SOUTH J STREET
Tacoma, WA 98405
(47.245464, -122.448756)"
430096,LEWIS AND CLARK SPECIALTY HOSPITAL,2601 FOX RUN PARKWAY,Yankton,SD,57078,YANKTON,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"2601 FOX RUN PARKWAY
Yankton, SD 57078
(42.904944, -97.399989)"
390270,GEISINGER WYOMING VALLEY MEDICAL CENTER,1000 EAST MOUNTAIN BOULEVARD,Wilkes-Barre,PA,18711,LUZERNE,4 out of 10,3 out of 9,4 out of 10,1 out of 10,0 out of 9,1 out of 10,4 out of 10,3 out of 9,4 out of 10,4 out of 10,5 out of 9,5 out of 10,2 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,8 out of 10,7 out of 9,8 out of 10,2 out of 10,1 out of 9,2 out of 10,26,16,"1000 EAST MOUNTAIN BOULEVARD
Wilkes-Barre, PA 18711
(41.255983, -75.812423)"
500148,CONFLUENCE HEALTH- WENATCHEE VALLEY HOSP & CLINICS,820 NORTH CHELAN AVENUE,Wenatchee,WA,98801,CHELAN,7 out of 10,0 out of 9,7 out of 10,9 out of 10,8 out of 9,9 out of 10,9 out of 10,8 out of 9,9 out of 10,8 out of 10,7 out of 9,8 out of 10,4 out of 10,0 out of 9,4 out of 10,1 out of 10,0 out of 9,1 out of 10,10 out of 10,9 out of 9,10 out of 10,7 out of 10,0 out of 9,7 out of 10,55,20,"820 NORTH CHELAN AVENUE
Wenatchee, WA 98801
(47.433568, -120.321985)"
500054,PROVIDENCE SACRED HEART MEDICAL CENTER,101 WEST 8TH AVENUE,Spokane,WA,99220,SPOKANE,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,4 out of 9,5 out of 10,3 out of 10,0 out of 9,3 out of 10,9,15,"101 WEST 8TH AVENUE
Spokane, WA 99220
(47.648249, -117.411872)"
450883,BAYLOR MEDICAL CENTER AT TROPHY CLUB,2850  E STATE HIGHWAY 114,Trophy Club,TX,76262,DENTON,10 out of 10,9 out of 9,10 out of 10,8 out of 10,7 out of 9,8 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,78,20,"2850 E STATE HIGHWAY 114
Trophy Club, TX 76262
(32.987984, -97.175031)"
450424,HOUSTON METHODIST SAN JACINTO HOSPITAL,4401 GARTH ROAD,Baytown,TX,77521,HARRIS,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,3 out of 10,0 out of 9,3 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,3 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,15,18,"4401 GARTH ROAD
Baytown, TX 77521
(29.76871, -94.977548)"
440152,REGIONAL ONE HEALTH,877 JEFFERSON AVENUE,Memphis,TN,38103,SHELBY,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,3,15,"877 JEFFERSON AVENUE
Memphis, TN 38103
(35.142634, -90.031297)"
450610,MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER,921 GESSNER,Houston,TX,77024,HARRIS,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,1 out of 9,4 out of 10,5 out of 10,1 out of 9,5 out of 10,4 out of 10,1 out of 9,4 out of 10,4 out of 10,0 out of 9,4 out of 10,5 out of 10,0 out of 9,5 out of 10,25,18,"921 GESSNER
Houston, TX 77024
(29.781416, -95.544324)"
450152,METROPLEX HOSPITAL,2201 S CLEAR CREEK ROAD,Killeen,TX,76542,BELL,2 out of 10,0 out of 9,2 out of 10,3 out of 10,0 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,4 out of 10,2 out of 9,4 out of 10,6 out of 10,1 out of 9,6 out of 10,6 out of 10,2 out of 9,6 out of 10,4 out of 10,0 out of 9,4 out of 10,2 out of 10,1 out of 9,2 out of 10,28,20,"2201 S CLEAR CREEK ROAD
Killeen, TX 76542
(31.11335, -97.799519)"
390031,SCHUYLKILL MEDICAL CENTER - EAST NORWEGIAN STREET,700 EAST NORWEGIAN STREET,Pottsville,PA,17901,SCHUYLKILL,4 out of 10,0 out of 9,4 out of 10,0 out of 10,2 out of 9,2 out of 10,5 out of 10,0 out of 9,5 out of 10,3 out of 10,0 out of 9,3 out of 10,4 out of 10,2 out of 9,4 out of 10,1 out of 10,1 out of 9,1 out of 10,5 out of 10,6 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,25,15,"700 EAST NORWEGIAN STREET
Pottsville, PA 17901
(40.690178, -76.187766)"
420087,ROPER HOSPITAL,316 CALHOUN ST,Charleston,SC,29401,CHARLESTON,7 out of 10,5 out of 9,7 out of 10,6 out of 10,3 out of 9,6 out of 10,6 out of 10,4 out of 9,6 out of 10,7 out of 10,6 out of 9,7 out of 10,8 out of 10,6 out of 9,8 out of 10,4 out of 10,1 out of 9,4 out of 10,6 out of 10,0 out of 9,6 out of 10,6 out of 10,3 out of 9,6 out of 10,50,20,"316 CALHOUN ST
Charleston, SC 29401
(32.782372, -79.948734)"
490067,SOUTHSIDE REGIONAL MEDICAL CENTER,200 MEDICAL PARK BOULEVARD,Petersburg,VA,23805,PETERSBURG CITY,3 out of 10,2 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,2 out of 9,2 out of 10,1 out of 10,1 out of 9,1 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,8,17,"200 MEDICAL PARK BOULEVARD
Petersburg, VA 23805
(37.183654, -77.361466)"
510023,WEIRTON MEDICAL CENTER,601 COLLIERS WAY,Weirton,WV,26062,HANCOCK,0 out of 10,5 out of 9,5 out of 10,0 out of 10,4 out of 9,4 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,2 out of 9,2 out of 10,4 out of 10,6 out of 9,6 out of 10,0 out of 10,2 out of 9,2 out of 10,25,8,"601 COLLIERS WAY
Weirton, WV 26062
(40.393726, -80.529739)"
450052,GOODALL WITCHER HOSPITAL,101 POSEY AVENUE,Clifton,TX,76634,BOSQUE,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"101 POSEY AVENUE
Clifton, TX 76634
(31.776943, -97.588318)"
450330,OAKBEND MEDICAL CENTER,1705 JACKSON ST,Richmond,TX,77469,FORT BEND,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2,12,"1705 JACKSON ST
Richmond, TX 77469
(29.577713, -95.771297)"
520045,THEDA CLARK MEDICAL CENTER,130 2ND ST,Neenah,WI,54956,WINNEBAGO,2 out of 10,0 out of 9,2 out of 10,2 out of 10,2 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,2 out of 9,2 out of 10,5 out of 10,0 out of 9,5 out of 10,4 out of 10,1 out of 9,4 out of 10,19,19,"130 2ND ST
Neenah, WI 54956
(44.189172, -88.453907)"
500049,WALLA WALLA GENERAL HOSPITAL,1025 S SECOND AVE,Walla Walla,WA,99362,WALLA WALLA,6 out of 10,6 out of 9,6 out of 10,1 out of 10,2 out of 9,2 out of 10,4 out of 10,1 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,2 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,3 out of 9,3 out of 10,4 out of 10,2 out of 9,4 out of 10,23,17,"1025 S SECOND AVE
Walla Walla, WA 99362
(46.054255, -118.331679)"
450144,PERMIAN REGIONAL MEDICAL CENTER ANDREWS COUNTY HO,720 HOSPITAL DRIVE,Andrews,TX,79714,ANDREWS,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"720 HOSPITAL DRIVE
Andrews, TX 79714
(32.337424, -102.546866)"
360041,PARMA COMMUNITY GENERAL HOSPITAL,7007 POWERS BOULEVARD,Parma,OH,44129,CUYAHOGA,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,5 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,5 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,10,14,"7007 POWERS BOULEVARD
Parma, OH 44129
(41.382762, -81.731476)"
450002,PROVIDENCE MEMORIAL HOSPITAL,2001 N OREGON ST,El Paso,TX,79902,EL PASO,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,1 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,3,15,"2001 N OREGON ST
El Paso, TX 79902
(31.771161, -106.499345)"
440130,BAPTIST MEMORIAL HOSPITAL UNION CITY,"1201 BISHOP ST, PO BOX 310",Union City,TN,38261,OBION,8 out of 10,0 out of 9,8 out of 10,8 out of 10,7 out of 9,8 out of 10,7 out of 10,0 out of 9,7 out of 10,7 out of 10,0 out of 9,7 out of 10,6 out of 10,0 out of 9,6 out of 10,8 out of 10,3 out of 9,8 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0 out of 9,3 out of 10,47,19,"1201 BISHOP ST, PO BOX 310
Union City, TN 38261
(36.414423, -89.039037)"
360354,"WEST CHESTER HOSPITAL, LLC",7700 UNIVERSITY DRIVE,West Chester,OH,45069,BUTLER,6 out of 10,2 out of 9,6 out of 10,3 out of 10,1 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,6 out of 10,1 out of 9,6 out of 10,3 out of 10,0 out of 9,3 out of 10,6 out of 10,1 out of 9,6 out of 10,7 out of 10,6 out of 9,7 out of 10,9 out of 10,7 out of 9,9 out of 10,41,20,"7700 UNIVERSITY DRIVE
West Chester, OH 45069
(39.358499, -84.366893)"
370002,ALLIANCEHEALTH WOODWARD,900 17TH STREET,Woodward,OK,73801,WOODWARD,2 out of 10,4 out of 9,4 out of 10,6 out of 10,1 out of 9,6 out of 10,5 out of 10,5 out of 9,5 out of 10,6 out of 10,6 out of 9,6 out of 10,4 out of 10,0 out of 9,4 out of 10,4 out of 10,3 out of 9,4 out of 10,10 out of 10,9 out of 9,10 out of 10,1 out of 10,2 out of 9,2 out of 10,41,20,"900 17TH STREET
Woodward, OK 73801
(36.438338, -99.400953)"
390037,HERITAGE VALLEY SEWICKLEY,720 BLACKBURN ROAD,Sewickley,PA,15143,ALLEGHENY,4 out of 10,2 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,2 out of 9,3 out of 10,6 out of 10,4 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,3 out of 9,3 out of 10,1 out of 10,2 out of 9,2 out of 10,18,16,"720 BLACKBURN ROAD
Sewickley, PA 15143
(40.543521, -80.17876)"
440133,SAINT THOMAS MIDTOWN HOSPITAL,2000 CHURCH ST,Nashville,TN,37236,DAVIDSON,3 out of 10,1 out of 9,3 out of 10,6 out of 10,0 out of 9,6 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,4 out of 10,4 out of 9,4 out of 10,1 out of 10,2 out of 9,2 out of 10,4 out of 10,0 out of 9,4 out of 10,3 out of 10,0 out of 9,3 out of 10,25,20,"2000 CHURCH ST
Nashville, TN 37236
(36.1534, -86.800835)"
450155,HEREFORD REGIONAL MEDICAL CENTER,801 EAST THIRD,Hereford,TX,79045,DEAF SMITH,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"801 EAST THIRD
Hereford, TX 79045
(34.820348, -102.391915)"
390217,EXCELA HEALTH FRICK HOSPITAL,508 SOUTH CHURCH STREET,Mount Pleasant,PA,15666,WESTMORELAND,5 out of 10,0 out of 9,5 out of 10,1 out of 10,0 out of 9,1 out of 10,3 out of 10,0 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,6 out of 10,5 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,10 out of 10,9 out of 9,10 out of 10,0 out of 10,0 out of 9,0 out of 10,26,19,"508 SOUTH CHURCH STREET
Mount Pleasant, PA 15666
(40.146213, -79.548136)"
390027,TEMPLE UNIVERSITY HOSPITAL,3401 NORTH BROAD STREET,Philadelphia,PA,19140,PHILADELPHIA,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,3 out of 10,4 out of 9,4 out of 10,0 out of 10,1 out of 9,1 out of 10,10,13,"3401 NORTH BROAD STREET
Philadelphia, PA 19140
(40.004667, -75.1522)"
500021,ST CLARE HOSPITAL,11315 BRIDGEPORT WAY S W,Lakewood,WA,98499,PIERCE,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,10 out of 10,9 out of 9,10 out of 10,0 out of 10,0 out of 9,0 out of 10,10,13,"11315 BRIDGEPORT WAY S W
Lakewood, WA 98499
(47.154213, -122.504495)"
370022,JACKSON COUNTY MEMORIAL HOSPITAL AUTHORITY,1200 EAST PECAN ST,Altus,OK,73523,JACKSON,4 out of 10,0 out of 9,4 out of 10,5 out of 10,0 out of 9,5 out of 10,6 out of 10,2 out of 9,6 out of 10,1 out of 10,0 out of 9,1 out of 10,8 out of 10,3 out of 9,8 out of 10,2 out of 10,3 out of 9,3 out of 10,7 out of 10,8 out of 9,8 out of 10,2 out of 10,2 out of 9,2 out of 10,37,20,"1200 EAST PECAN ST
Altus, OK 73523
(34.635273, -99.319119)"
390036,HERITAGE VALLEY BEAVER,1000 DUTCH RIDGE ROAD,Beaver,PA,15009,BEAVER,4 out of 10,5 out of 9,5 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,5 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,13,10,"1000 DUTCH RIDGE ROAD
Beaver, PA 15009
(40.711178, -80.32597)"
370013,"MERCY HOSPITAL OKLAHOMA CITY, INC",4300 WEST MEMORIAL ROAD,Oklahoma City,OK,73120,OKLAHOMA,0 out of 10,1 out of 9,1 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,5 out of 9,5 out of 10,2 out of 10,0 out of 9,2 out of 10,11,16,"4300 WEST MEMORIAL ROAD
Oklahoma City, OK 73120
(35.609026, -97.599625)"
520107,HOLY FAMILY MEMORIAL,2300 WESTERN AVE,Manitowoc,WI,54221,MANITOWOC,4 out of 10,2 out of 9,4 out of 10,1 out of 10,2 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,2 out of 9,2 out of 10,5 out of 10,2 out of 9,5 out of 10,3 out of 10,2 out of 9,3 out of 10,5 out of 10,4 out of 9,5 out of 10,2 out of 10,1 out of 9,2 out of 10,25,20,"2300 WESTERN AVE
Manitowoc, WI 54221
(44.09441, -87.676865)"
390130,CONEMAUGH MINERS MEDICAL CENTER,290 HAIDA AVENUE,Hastings,PA,16646,CAMBRIA,8 out of 10,7 out of 9,8 out of 10,10 out of 10,9 out of 9,10 out of 10,9 out of 10,8 out of 9,9 out of 10,8 out of 10,6 out of 9,8 out of 10,4 out of 10,0 out of 9,4 out of 10,5 out of 10,4 out of 9,5 out of 10,1 out of 10,0 out of 9,1 out of 10,6 out of 10,5 out of 9,6 out of 10,51,20,"290 HAIDA AVENUE
Hastings, PA 16646
(40.658907, -78.705756)"
520109,MILE BLUFF MEDICAL CENTER,1050 DIVISION ST,Mauston,WI,53948,JUNEAU,0 out of 10,0 out of 9,0 out of 10,5 out of 10,0 out of 9,5 out of 10,6 out of 10,4 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,8 out of 10,8 out of 9,8 out of 10,0 out of 10,0 out of 9,0 out of 10,22,10,"1050 DIVISION ST
Mauston, WI 53948
(43.782732, -90.076778)"
450647,MEDICAL CITY DALLAS HOSPITAL,7777 FOREST LANE,Dallas,TX,75230,DALLAS,0 out of 10,0 out of 9,0 out of 10,4 out of 10,0 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,1 out of 9,3 out of 10,3 out of 10,3 out of 9,3 out of 10,5 out of 10,0 out of 9,5 out of 10,4 out of 10,2 out of 9,4 out of 10,4 out of 10,0 out of 9,4 out of 10,23,19,"7777 FOREST LANE
Dallas, TX 75230
(32.909447, -96.772089)"
500033,SAMARITAN HOSPITAL,801 EAST WHEELER ROAD,Moses Lake,WA,98837,GRANT,2 out of 10,5 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,5 out of 9,5 out of 10,2 out of 10,2 out of 9,2 out of 10,6 out of 10,6 out of 9,6 out of 10,0 out of 10,2 out of 9,2 out of 10,23,14,"801 EAST WHEELER ROAD
Moses Lake, WA 98837
(47.131123, -119.267287)"
450869,DOCTORS HOSPITAL AT RENAISSANCE,5501 SOUTH MCCOLL,Edinburg,TX,78539,HIDALGO,0 out of 10,2 out of 9,2 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,2 out of 9,2 out of 10,3 out of 10,4 out of 9,4 out of 10,4 out of 10,2 out of 9,4 out of 10,0 out of 10,1 out of 9,1 out of 10,3 out of 10,0 out of 9,3 out of 10,19,16,"5501 SOUTH MCCOLL
Edinburg, TX 78539
(26.252424, -98.204109)"
